ID,Answers,RT,category,condition,block,session
Participant_2,1,2.76905349583103,O,C,1,1
Participant_2,1,4.16001488133406,O,C,1,1
Participant_2,1,3.05686568313104,S,U,1,1
Participant_2,1,8.22225734445055,F,D,1,1
Participant_2,1,1.83672661962737,S,U,1,1
Participant_2,1,1.48826170622306,O,C,1,1
Participant_2,1,1.36135471456146,O,C,1,1
Participant_2,1,1.6680287363688,O,C,1,1
Participant_2,1,1.24322411802495,S,U,1,1
Participant_2,1,5.84094368184742,F,D,1,1
Participant_2,1,1.13323566388681,S,U,1,1
Participant_2,1,1.22057370108996,O,C,1,1
Participant_2,1,2.45558691468977,F,D,1,1
Participant_2,1,2.41196921103256,F,D,1,1
Participant_2,1,1.75257780628635,S,U,1,1
Participant_2,1,1.81429429121272,S,U,1,1
Participant_2,1,2.51429890955842,F,D,1,1
Participant_2,1,4.46412828736356,F,D,1,1
Participant_2,1,2.34914791533083,O,C,1,1
Participant_2,1,2.03566645285355,O,C,1,1
Participant_2,1,1.17179987171403,F,D,1,1
Participant_2,1,1.67691905067295,S,U,1,1
Participant_2,1,1.69188351507364,F,D,1,1
Participant_2,1,1.51920461834561,S,U,1,1
Participant_2,1,1.79407158434879,F,D,1,1
Participant_2,1,1.23230121872984,O,C,1,1
Participant_2,1,1.58609775497098,O,C,1,1
Participant_2,1,1.2579186658113,F,D,1,1
Participant_2,1,2.84943271327757,F,D,1,1
Participant_2,1,2.78610955740805,S,U,1,1
Participant_2,1,1.96841565105751,S,U,1,1
Participant_2,1,1.14833662604178,S,U,1,1
Participant_2,1,1.20998640153812,O,C,1,1
Participant_2,1,1.6215840923669,S,U,1,1
Participant_2,1,1.40153021167498,O,C,1,1
Participant_2,1,3.00809903784466,F,D,1,1
Participant_2,1,2.52781167415014,S,U,1,1
Participant_2,1,1.68766080820933,F,D,1,1
Participant_2,1,2.295883515073,S,U,1,1
Participant_2,1,1.4482606799229,S,U,1,1
Participant_2,1,1.43482847979431,O,C,1,1
Participant_2,1,1.17323771648444,O,C,1,1
Participant_2,1,4.74313021167472,F,D,1,1
Participant_2,1,1.67533085311152,O,C,1,1
Participant_2,1,1.43525849903926,S,U,1,1
Participant_2,1,1.16857113534388,O,C,1,1
Participant_2,1,1.10272636305308,S,U,1,1
Participant_2,1,1.45430609364848,S,U,1,1
Participant_2,1,1.76091443232872,O,C,1,1
Participant_2,1,1.86250416933945,O,C,1,1
Participant_2,1,1.47420910840265,F,D,1,1
Participant_2,1,1.7390968569598,F,D,1,1
Participant_2,1,2.70732572161614,F,D,1,1
Participant_2,1,3.61192302758172,F,D,1,1
Participant_2,1,1.18375471456056,S,U,2,1
Participant_2,1,2.22922796664534,F,D,2,1
Participant_2,1,1.73890339961508,O,C,2,1
Participant_2,1,1.56730262989004,S,U,2,1
Participant_2,1,1.6514935214891,S,U,2,1
Participant_2,1,1.18780397690716,O,C,2,1
