ID,acc,Confidence,RT,RT_hits,RT_fails,Pair,category,condition,session,PairType,Distance,Block
Participant_2,0.5,1.5,2.46697935054794,1.32199956894783,3.61195913214806,BC,S,U,3,Premise,0,3
Participant_2,0.5,-2,2.34100486473176,2.72986113961997,1.95214858984355,CD,S,U,3,Premise,0,3
Participant_2,1,2,2.48259626831987,2.48259626831987,0,DE,S,U,3,Premise,0,3
Participant_2,0.5,0,1.23800263762882,0.204019048400824,2.27198622685682,EF,S,U,3,Premise,0,3
Participant_2,0,1.5,1.69276602077252,0,1.69276602077252,BD,S,U,3,Inference,1,3
Participant_2,0,-1.5,3.99387854591737,0,3.99387854591737,CE,S,U,3,Inference,1,3
Participant_2,0,-2,2.08373445133225,0,2.08373445133225,BE,S,U,3,Inference,2,3
Participant_2,0.5,-0.5,3.22727713576091,4.43456063467283,2.01999363684899,AF,S,U,3,Anchor,3,3
Participant_2,1,2,0.768933453754471,0.768933453754471,0,AB,O,C,3,Premise,0,3
Participant_2,1,1.5,1.36227446734279,1.36227446734279,0,BC,O,C,3,Premise,0,3
Participant_2,1,2,2.1097700028738,2.1097700028738,0,CD,O,C,3,Premise,0,3
Participant_2,1,2,1.14969569768891,1.14969569768891,0,DE,O,C,3,Premise,0,3
Participant_2,0,2,1.27188847038042,0,1.27188847038042,EF,O,C,3,Premise,0,3
Participant_2,0,-2,3.61457392544844,0,3.61457392544844,BD,O,C,3,Inference,1,3
Participant_2,0,2,2.00427690997162,0,2.00427690997162,CE,O,C,3,Inference,1,3
Participant_2,1,0,2.47371967240019,2.47371967240019,0,BE,O,C,3,Inference,2,3
Participant_2,1,2,0.781166098772701,0.781166098772701,0,AF,O,C,3,Anchor,3,3
Participant_2,0,-2,0.987618795927574,0,0.987618795927574,AB,F,D,3,Premise,0,4
Participant_2,1,2,1.30662075618875,1.30662075618875,0,BC,F,D,3,Premise,0,4
Participant_2,0.5,-2,1.11874666447716,1.13264501826825,1.10484831068607,CD,F,D,3,Premise,0,4
Participant_2,0,-1.5,0.878163101933524,0,0.878163101933524,DE,F,D,3,Premise,0,4
Participant_2,0.5,-2,1.25682345334394,0.901594893058245,1.61205201362964,EF,F,D,3,Premise,0,4
Participant_2,1,-2,1.20476056077837,1.20476056077837,0,BD,F,D,3,Inference,1,4
Participant_2,0.5,-2,1.46792330350172,1.33912568249934,1.5967209245041,CE,F,D,3,Inference,1,4
Participant_2,1,-2,1.22311594277267,1.22311594277267,0,BE,F,D,3,Inference,2,4
Participant_2,0.5,-1.5,1.23498475922634,1.64155189047142,0.828417627981253,AF,F,D,3,Anchor,3,4
Participant_2,1,-0.5,3.15732403834318,3.15732403834318,0,AB,S,U,3,Premise,0,4
Participant_2,0.5,-0.5,1.79016200377669,2.1766333798596,1.40369062769378,BC,S,U,3,Premise,0,4
Participant_2,0,-2,2.63965757009714,0,2.63965757009714,CD,S,U,3,Premise,0,4
Participant_2,1,2,1.83801854550666,1.83801854550666,0,DE,S,U,3,Premise,0,4
Participant_2,0,2,1.79632168808234,0,1.79632168808234,EF,S,U,3,Premise,0,4
Participant_2,0,-2,1.46273143396684,0,1.46273143396684,BD,S,U,3,Inference,1,4
Participant_2,0.5,0,2.15656559177319,1.82155979309528,2.4915713904511,CE,S,U,3,Inference,1,4
Participant_2,0,-2,2.27036259698684,0,2.27036259698684,BE,S,U,3,Inference,2,4
Participant_2,0,0.5,2.79170814688609,0,2.79170814688609,AF,S,U,3,Anchor,3,4
Participant_2,1,2,0.927996069214714,0.927996069214714,0,AB,O,C,3,Premise,0,4
Participant_2,1,2,1.52044495874202,1.52044495874202,0,BC,O,C,3,Premise,0,4
Participant_2,1,2,1.66321226240802,1.66321226240802,0,CD,O,C,3,Premise,0,4
Participant_2,1,0,2.71313965064246,2.71313965064246,0,DE,O,C,3,Premise,0,4
Participant_2,0.5,0,1.21317069666247,1.67316546245729,0.753175930867656,EF,O,C,3,Premise,0,4
Participant_2,0,1.5,2.36023235765015,0,2.36023235765015,BD,O,C,3,Inference,1,4
Participant_2,0,2,1.62532354571204,0,1.62532354571204,CE,O,C,3,Inference,1,4
Participant_2,1,1,1.22703441233193,1.22703441233193,0,BE,O,C,3,Inference,2,4
Participant_2,1,2,0.701895346689071,0.701895346689071,0,AF,O,C,3,Anchor,3,4
Participant_3,0.5,-1.5,7.91281039446039,10.3623754958317,5.46324529308913,AB,O,D,3,Premise,0,1
Participant_3,1,-0.5,5.71162167155126,5.71162167155126,0,BC,O,D,3,Premise,0,1
Participant_3,1,2,3.66049555351492,3.66049555351492,0,CD,O,D,3,Premise,0,1
Participant_3,1,-0.5,2.28415352562661,2.28415352562661,0,DE,O,D,3,Premise,0,1
Participant_3,0.5,0.5,2.3656045219177,3.4937092362743,1.23749980756111,EF,O,D,3,Premise,0,1
Participant_3,1,1.5,1.28739204507292,1.28739204507292,0,BD,O,D,3,Inference,1,1
Participant_3,1,1.5,2.24988941515767,2.24988941515767,0,CE,O,D,3,Inference,1,1
Participant_3,1,2,1.66523530709674,1.66523530709674,0,BE,O,D,3,Inference,2,1
Participant_3,1,0,3.14457723748637,3.14457723748637,0,AF,O,D,3,Anchor,3,1
Participant_3,0.5,-1.5,5.06461592935011,4.90376860827382,5.2254632504264,AB,F,U,3,Premise,0,1
Participant_3,0.5,-1,6.33198826928128,4.57214442226541,8.09183211629716,BC,F,U,3,Premise,0,1
Participant_3,0.5,1,5.46569201480088,8.09839536518848,2.83298866441328,CD,F,U,3,Premise,0,1
Participant_3,1,1.5,3.61351162039136,3.61351162039136,0,DE,F,U,3,Premise,0,1
Participant_3,1,0.5,3.63339097771677,3.63339097771677,0,EF,F,U,3,Premise,0,1
Participant_3,0,-1,3.00454937318136,0,3.00454937318136,BD,F,U,3,Inference,1,1
Participant_3,0,-2,8.14666064565245,0,8.14666064565245,CE,F,U,3,Inference,1,1
Participant_3,0,1.5,5.62566517680898,0,5.62566517680898,BE,F,U,3,Inference,2,1
Participant_3,0.5,-0.5,3.67587454393288,3.62249054512358,3.72925854274217,AF,F,U,3,Anchor,3,1
Participant_3,1,2,2.45128699203997,2.45128699203997,0,AB,S,C,3,Premise,0,1
Participant_3,1,1,5.52298343023722,5.52298343023722,0,BC,S,C,3,Premise,0,1
Participant_3,1,2,3.42187886469765,3.42187886469765,0,CD,S,C,3,Premise,0,1
Participant_3,1,2,1.95861715065621,1.95861715065621,0,DE,S,C,3,Premise,0,1
Participant_3,1,1.5,2.60971735438216,2.60971735438216,0,EF,S,C,3,Premise,0,1
Participant_3,1,0.5,2.3223548156966,2.3223548156966,0,BD,S,C,3,Inference,1,1
Participant_3,1,2,2.84444689618249,2.84444689618249,0,CE,S,C,3,Inference,1,1
Participant_3,1,0,1.63914754737561,1.63914754737561,0,BE,S,C,3,Inference,2,1
Participant_3,1,2,1.85563931380602,1.85563931380602,0,AF,S,C,3,Anchor,3,1
Participant_3,0.5,-1,5.27584349807512,5.62693651763402,4.92475047851622,AB,O,D,3,Premise,0,2
Participant_3,1,2,4.8186952528049,4.8186952528049,0,BC,O,D,3,Premise,0,2
Participant_3,1,2,4.59301468135891,4.59301468135891,0,CD,O,D,3,Premise,0,2
Participant_3,1,2,1.14501418872896,1.14501418872896,0,DE,O,D,3,Premise,0,2
Participant_3,0,2,1.69295258963757,0,1.69295258963757,EF,O,D,3,Premise,0,2
Participant_3,1,2,2.55233947237139,2.55233947237139,0,BD,O,D,3,Inference,1,2
Participant_3,1,0,1.4363290450674,1.4363290450674,0,CE,O,D,3,Inference,1,2
Participant_3,1,2,2.17960594849137,2.17960594849137,0,BE,O,D,3,Inference,2,2
Participant_3,1,2,2.34333129781953,2.34333129781953,0,AF,O,D,3,Anchor,3,2
Participant_3,0,0.5,2.29251127657335,0,2.29251127657335,AB,F,U,3,Premise,0,2
Participant_3,0,2,4.56992477151653,0,4.56992477151653,BC,F,U,3,Premise,0,2
Participant_3,0.5,1,1.91913887506234,2.31658567374689,1.5216920763778,CD,F,U,3,Premise,0,2
Participant_3,1,2,4.58176889564129,4.58176889564129,0,DE,F,U,3,Premise,0,2
Participant_3,1,1.5,5.66933695278567,5.66933695278567,0,EF,F,U,3,Premise,0,2
Participant_3,0.5,0,5.09859498237711,2.80419093461387,7.39299903014034,BD,F,U,3,Inference,1,2
Participant_3,0,0.5,3.40343018273416,0,3.40343018273416,CE,F,U,3,Inference,1,2
Participant_3,0.5,0,3.54126892899512,2.66652743068698,4.41601042730326,BE,F,U,3,Inference,2,2
Participant_3,1,-1.5,1.4774193962221,1.4774193962221,0,AF,F,U,3,Anchor,3,2
Participant_3,1,2,1.55552821581296,1.55552821581296,0,AB,S,C,3,Premise,0,2
Participant_3,0,1.5,3.69601535358743,0,3.69601535358743,BC,S,C,3,Premise,0,2
Participant_3,1,2,4.53534686693092,4.53534686693092,0,CD,S,C,3,Premise,0,2
Participant_3,1,2,2.65605958752349,2.65605958752349,0,DE,S,C,3,Premise,0,2
Participant_3,1,2,1.77067936553067,1.77067936553067,0,EF,S,C,3,Premise,0,2
Participant_3,1,2,1.87906020844457,1.87906020844457,0,BD,S,C,3,Inference,1,2
Participant_3,1,2,1.58219661010298,1.58219661010298,0,CE,S,C,3,Inference,1,2
Participant_3,1,2,1.48579639046875,1.48579639046875,0,BE,S,C,3,Inference,2,2
Participant_3,1,2,1.13143585822399,1.13143585822399,0,AF,S,C,3,Anchor,3,2
Participant_3,0.5,-0.5,2.40284929158952,2.60366033262835,2.20203825055069,AB,O,D,3,Premise,0,3
Participant_3,1,0,5.603821976365,5.603821976365,0,BC,O,D,3,Premise,0,3
Participant_3,1,1.5,1.94089458262897,1.94089458262897,0,CD,O,D,3,Premise,0,3
Participant_3,1,2,1.16242989023885,1.16242989023885,0,DE,O,D,3,Premise,0,3
Participant_3,1,1,1.87381910269687,1.87381910269687,0,EF,O,D,3,Premise,0,3
Participant_3,1,2,1.6276844406384,1.6276844406384,0,BD,O,D,3,Inference,1,3
Participant_3,1,1,3.67259343264232,3.67259343264232,0,CE,O,D,3,Inference,1,3
Participant_3,1,2,1.0367185295072,1.0367185295072,0,BE,O,D,3,Inference,2,3
Participant_3,1,1,2.06928538073771,2.06928538073771,0,AF,O,D,3,Anchor,3,3
Participant_3,0,0.5,3.82357176212463,0,3.82357176212463,AB,F,U,3,Premise,0,3
Participant_3,0,1.5,6.32421859364695,0,6.32421859364695,BC,F,U,3,Premise,0,3
Participant_3,1,1.5,2.59568642141676,2.59568642141676,0,CD,F,U,3,Premise,0,3
Participant_3,1,1.5,2.19336413972269,2.19336413972269,0,DE,F,U,3,Premise,0,3
Participant_3,1,1,2.43684425241008,2.43684425241008,0,EF,F,U,3,Premise,0,3
Participant_3,0,2,3.96253277775395,0,3.96253277775395,BD,F,U,3,Inference,1,3
Participant_3,1,1,4.6456030337722,4.6456030337722,0,CE,F,U,3,Inference,1,3
Participant_3,0.5,0,1.20251548444139,0.569078835957043,1.83595213292574,BE,F,U,3,Inference,2,3
Participant_3,0.5,-1.5,4.1451519707698,3.6688545873476,4.62144935419201,AF,F,U,3,Anchor,3,3
Participant_3,1,2,2.34154218388358,2.34154218388358,0,AB,S,C,3,Premise,0,3
Participant_3,0.5,2,4.92829432502549,7.87454855213582,1.98204009791516,BC,S,C,3,Premise,0,3
Participant_3,1,2,1.4272033580819,1.4272033580819,0,CD,S,C,3,Premise,0,3
Participant_3,1,2,1.4472879772984,1.4472879772984,0,DE,S,C,3,Premise,0,3
Participant_3,1,2,1.48912907380509,1.48912907380509,0,EF,S,C,3,Premise,0,3
Participant_3,1,2,2.0349417312791,2.0349417312791,0,BD,S,C,3,Inference,1,3
Participant_3,1,2,2.37640668538006,2.37640668538006,0,CE,S,C,3,Inference,1,3
Participant_3,1,2,1.50831156702043,1.50831156702043,0,BE,S,C,3,Inference,2,3
Participant_3,1,2,1.8574063620872,1.8574063620872,0,AF,S,C,3,Anchor,3,3
Participant_3,0,0.5,4.16952014902199,0,4.16952014902199,AB,O,D,3,Premise,0,4
Participant_3,0.5,-1.5,3.90584560201023,5.8332796231407,1.97841158087977,BC,O,D,3,Premise,0,4
Participant_3,1,2,4.65988926121281,4.65988926121281,0,CD,O,D,3,Premise,0,4
Participant_3,1,2,4.76363785645299,4.76363785645299,0,DE,O,D,3,Premise,0,4
Participant_3,0.5,1,3.60546304516538,1.06289326895057,6.14803282138018,EF,O,D,3,Premise,0,4
Participant_3,1,2,1.20024451822246,1.20024451822246,0,BD,O,D,3,Inference,1,4
Participant_3,1,0.5,4.07451365760789,4.07451365760789,0,CE,O,D,3,Inference,1,4
Participant_3,1,2,0.96478039543581,0.96478039543581,0,BE,O,D,3,Inference,2,4
Participant_3,1,1,1.32662580244505,1.32662580244505,0,AF,O,D,3,Anchor,3,4
Participant_3,0.5,1.5,3.6113625284197,5.05476797709707,2.16795707974234,AB,F,U,3,Premise,0,4
Participant_3,0.5,-1.5,8.25676543184454,7.12982352609106,9.38370733759803,BC,F,U,3,Premise,0,4
Participant_3,1,2,1.90923935075261,1.90923935075261,0,CD,F,U,3,Premise,0,4
Participant_3,1,2,4.00348714290885,4.00348714290885,0,DE,F,U,3,Premise,0,4
Participant_3,1,1.5,1.59024441559086,1.59024441559086,0,EF,F,U,3,Premise,0,4
Participant_3,0,2,4.32022907226565,0,4.32022907226565,BD,F,U,3,Inference,1,4
Participant_3,0.5,0,7.16101101743334,6.34678585540678,7.9752361794599,CE,F,U,3,Inference,1,4
Participant_3,0,2,4.51031800197961,0,4.51031800197961,BE,F,U,3,Inference,2,4
Participant_3,1,1,4.83442498447403,4.83442498447403,0,AF,F,U,3,Anchor,3,4
Participant_3,1,2,1.40945564546928,1.40945564546928,0,AB,S,C,3,Premise,0,4
Participant_3,0,1,2.84332437023477,0,2.84332437023477,BC,S,C,3,Premise,0,4
Participant_3,1,2,4.45819431116615,4.45819431116615,0,CD,S,C,3,Premise,0,4
Participant_3,1,2,1.933139788478,1.933139788478,0,DE,S,C,3,Premise,0,4
Participant_3,1,2,2.01497667711737,2.01497667711737,0,EF,S,C,3,Premise,0,4
Participant_3,1,1,3.02525413987678,3.02525413987678,0,BD,S,C,3,Inference,1,4
Participant_3,1,2,3.51737875436811,3.51737875436811,0,CE,S,C,3,Inference,1,4
Participant_3,1,2,1.53404986837631,1.53404986837631,0,BE,S,C,3,Inference,2,4
Participant_3,1,2,1.13713084932533,1.13713084932533,0,AF,S,C,3,Anchor,3,4
Participant_5,0.5,-2,1.7449833994433,2.77393174015742,0.716035058729176,AB,S,D,3,Premise,0,1
Participant_5,1,-2,1.05766063025658,1.05766063025658,0,BC,S,D,3,Premise,0,1
Participant_5,0.5,-2,0.831439193731057,0.908994575955148,0.753883811506967,CD,S,D,3,Premise,0,1
Participant_5,0.5,-1.5,0.661044372489414,0.664213102892973,0.657875642085855,DE,S,D,3,Premise,0,1
Participant_5,1,-2,0.963801296231395,0.963801296231395,0,EF,S,D,3,Premise,0,1
Participant_5,0.5,0,0.754570925677399,0.58642500499991,0.922716846354888,BD,S,D,3,Inference,1,1
Participant_5,0,-1.5,2.24282737988688,0,2.24282737988688,CE,S,D,3,Inference,1,1
Participant_5,0.5,-2,0.713131629319832,0.787892114356509,0.638371144283155,BE,S,D,3,Inference,2,1
Participant_5,0.5,-2,1.54947504272059,1.36191776182386,1.73703232361731,AF,S,D,3,Anchor,3,1
Participant_5,0,0,1.54910480159378,0,1.54910480159378,AB,F,U,3,Premise,0,1
Participant_5,1,0,1.18388899436832,1.18388899436832,0,BC,F,U,3,Premise,0,1
Participant_5,0,0,3.29156963766218,0,3.29156963766218,CD,F,U,3,Premise,0,1
Participant_5,0,0,0.915964499956317,0,0.915964499956317,DE,F,U,3,Premise,0,1
Participant_5,0,-1,1.34117912691727,0,1.34117912691727,EF,F,U,3,Premise,0,1
Participant_5,1,0,1.16985754825146,1.16985754825146,0,BD,F,U,3,Inference,1,1
Participant_5,0,0,1.42201792962805,0,1.42201792962805,CE,F,U,3,Inference,1,1
Participant_5,1,0,1.67782427529528,1.67782427529528,0,BE,F,U,3,Inference,2,1
Participant_5,0,0,1.10840444802307,0,1.10840444802307,AF,F,U,3,Anchor,3,1
Participant_5,0,-2,3.51290173600137,0,3.51290173600137,AB,O,C,3,Premise,0,1
Participant_5,1,0.5,1.44757944917728,1.44757944917728,0,BC,O,C,3,Premise,0,1
Participant_5,0.5,-2,2.32011489534489,3.17305681136349,1.46717297932628,CD,O,C,3,Premise,0,1
Participant_5,1,-1.5,0.976790781689488,0.976790781689488,0,DE,O,C,3,Premise,0,1
Participant_5,0,-2,1.35078281752794,0,1.35078281752794,EF,O,C,3,Premise,0,1
Participant_5,0,-2,1.22851985652233,0,1.22851985652233,BD,O,C,3,Inference,1,1
Participant_5,0.5,-1,2.10755825588785,2.29339005403017,1.92172645774554,CE,O,C,3,Inference,1,1
Participant_5,0,-1.5,1.80229097925621,0,1.80229097925621,BE,O,C,3,Inference,2,1
Participant_5,0.5,-2,1.95860560467554,1.9551631062277,1.96204810312338,AF,O,C,3,Anchor,3,1
Participant_5,0,-1.5,0.805062271327188,0,0.805062271327188,AB,S,D,3,Premise,0,2
Participant_5,0.5,-2,0.617450852605543,0.658800860051997,0.57610084515909,BC,S,D,3,Premise,0,2
Participant_5,0.5,-2,0.63385692220254,0.676361527766858,0.591352316638222,CD,S,D,3,Premise,0,2
Participant_5,0.5,-2,0.617985303248133,0.64371821648092,0.592252390015346,DE,S,D,3,Premise,0,2
Participant_5,0.5,-2,0.565939868531132,0.573100942667224,0.558778794395039,EF,S,D,3,Premise,0,2
Participant_5,0.5,-2,0.576629394527117,0.596945703095116,0.556313085959118,BD,S,D,3,Inference,1,2
Participant_5,0.5,-2,0.6188889687146,0.635703766041843,0.602074171387358,CE,S,D,3,Inference,1,2
Participant_5,0.5,-2,0.656211224748404,0.602028500616143,0.710393948880665,BE,S,D,3,Inference,2,2
Participant_5,0.5,-2,0.651962560230459,0.650140347817796,0.653784772643121,AF,S,D,3,Anchor,3,2
Participant_5,0,0,1.03448656304681,0,1.03448656304681,AB,F,U,3,Premise,0,2
Participant_5,1,0,1.12078327936979,1.12078327936979,0,BC,F,U,3,Premise,0,2
Participant_5,0,0,1.28339328691072,0,1.28339328691072,CD,F,U,3,Premise,0,2
Participant_5,0,0,0.988303664438718,0,0.988303664438718,DE,F,U,3,Premise,0,2
Participant_5,0,0,1.28851200525605,0,1.28851200525605,EF,F,U,3,Premise,0,2
Participant_5,1,0,1.25255602367179,1.25255602367179,0,BD,F,U,3,Inference,1,2
Participant_5,0,0,1.17126333560736,0,1.17126333560736,CE,F,U,3,Inference,1,2
Participant_5,1,-1,1.1335133651155,1.1335133651155,0,BE,F,U,3,Inference,2,2
Participant_5,0,0,1.07272993179868,0,1.07272993179868,AF,F,U,3,Anchor,3,2
Participant_5,0.5,-2,1.03029845079072,0.823904286386096,1.23669261519535,AB,O,C,3,Premise,0,2
Participant_5,1,0,1.0523797550195,1.0523797550195,0,BC,O,C,3,Premise,0,2
Participant_5,0,-2,1.02413956782402,0,1.02413956782402,CD,O,C,3,Premise,0,2
Participant_5,1,-2,0.83457559539238,0.83457559539238,0,DE,O,C,3,Premise,0,2
Participant_5,0.5,-2,1.06039908043022,1.29493003135576,0.82586812950467,EF,O,C,3,Premise,0,2
Participant_5,0,-1.5,0.810020115663065,0,0.810020115663065,BD,O,C,3,Inference,1,2
Participant_5,0.5,-2,0.99061747907399,1.42301139716437,0.558223560983606,CE,O,C,3,Inference,1,2
Participant_5,0,-2,0.756983266022871,0,0.756983266022871,BE,O,C,3,Inference,2,2
Participant_5,0.5,-2,0.91764200273974,0.964996690148837,0.870287315330643,AF,O,C,3,Anchor,3,2
Participant_5,0.5,-2,0.580413654020958,0.572772523642925,0.588054784398992,AB,S,D,3,Premise,0,3
Participant_5,0.5,-2,0.753490221835818,0.911335587792564,0.595644855879073,BC,S,D,3,Premise,0,3
Participant_5,0.5,-2,0.529300878006325,0.476864932541503,0.581736823471147,CD,S,D,3,Premise,0,3
Participant_5,0.5,-2,0.604844693723862,0.632809573420673,0.576879814027052,DE,S,D,3,Premise,0,3
Participant_5,0.5,-1.5,0.561921610486024,0.622096955456072,0.501746265515976,EF,S,D,3,Premise,0,3
Participant_5,0.5,-2,0.581499232834176,0.691411842584785,0.471586623083567,BD,S,D,3,Inference,1,3
Participant_5,1,-2,0.580996084630897,0.580996084630897,0,CE,S,D,3,Inference,1,3
Participant_5,0,-1.5,0.577592329358595,0,0.577592329358595,BE,S,D,3,Inference,2,3
Participant_5,0.5,-2,0.586637707634509,0.501514319577836,0.671761095691181,AF,S,D,3,Anchor,3,3
Participant_5,0,0,1.07079302930651,0,1.07079302930651,AB,F,U,3,Premise,0,3
Participant_5,1,0,1.10351690588141,1.10351690588141,0,BC,F,U,3,Premise,0,3
Participant_5,0,0,1.05867411083454,0,1.05867411083454,CD,F,U,3,Premise,0,3
Participant_5,0,0,0.981720915675396,0,0.981720915675396,DE,F,U,3,Premise,0,3
Participant_5,0,0,0.997923775998061,0,0.997923775998061,EF,F,U,3,Premise,0,3
Participant_5,1,0,1.14929441226195,1.14929441226195,0,BD,F,U,3,Inference,1,3
Participant_5,0,0,0.923738537407189,0,0.923738537407189,CE,F,U,3,Inference,1,3
Participant_5,1,0,1.02673074258564,1.02673074258564,0,BE,F,U,3,Inference,2,3
Participant_5,0,0,0.962588198468438,0,0.962588198468438,AF,F,U,3,Anchor,3,3
Participant_5,1,-2,0.764729593116499,0.764729593116499,0,AB,O,C,3,Premise,0,3
