ID,acc,RT,RT_fails,RT_hits,Pair,category,condition,session,PairType,Distance,Block
Participant_3,1,2.2184196723731,0,2.2184196723731,CE,S,C,2,Inference,1,4
Participant_3,1,2.00242391968595,0,2.00242391968595,BE,S,C,2,Inference,2,4
Participant_5,0,1.4476982563092,1.4476982563092,0,BD,S,D,2,Inference,1,1
Participant_5,1,1.41627538819955,0,1.41627538819955,CE,S,D,2,Inference,1,1
Participant_5,0.5,1.45693576362169,2.12661719880543,0.787254328437939,BE,S,D,2,Inference,2,1
Participant_5,1,1.23193807280586,0,1.23193807280586,BD,F,U,2,Inference,1,1
Participant_5,0,1.2378288022004,1.2378288022004,0,CE,F,U,2,Inference,1,1
Participant_5,1,1.70168390857685,0,1.70168390857685,BE,F,U,2,Inference,2,1
Participant_5,0,1.9694525693526,1.9694525693526,0,BD,O,C,2,Inference,1,1
Participant_5,1,1.83495848599603,0,1.83495848599603,CE,O,C,2,Inference,1,1
Participant_5,0,1.48490306557051,1.48490306557051,0,BE,O,C,2,Inference,2,1
Participant_5,0.5,1.29751069922099,1.14632993626651,1.44869146217547,BD,S,D,2,Inference,1,2
Participant_5,1,0.893542750700362,0,0.893542750700362,CE,S,D,2,Inference,1,2
Participant_5,0.5,1.04555866867827,1.0779036710901,1.01321366626644,BE,S,D,2,Inference,2,2
Participant_5,1,1.03807639808281,0,1.03807639808281,BD,F,U,2,Inference,1,2
Participant_5,0,1.01948746369453,1.01948746369453,0,CE,F,U,2,Inference,1,2
Participant_5,1,1.18809564128617,0,1.18809564128617,BE,F,U,2,Inference,2,2
Participant_5,0,1.47333020310555,1.47333020310555,0,BD,O,C,2,Inference,1,2
Participant_5,1,1.42525657604403,0,1.42525657604403,CE,O,C,2,Inference,1,2
Participant_5,0,1.69749376520213,1.69749376520213,0,BE,O,C,2,Inference,2,2
Participant_5,0,1.17215380194375,1.17215380194375,0,BD,S,D,2,Inference,1,3
Participant_5,0.5,0.814368258464583,0.908288945677668,0.720447571251498,CE,S,D,2,Inference,1,3
Participant_5,0.5,1.15798464648969,1.37967301948993,0.936296273489461,BE,S,D,2,Inference,2,3
Participant_5,1,1.25155946919563,0,1.25155946919563,BD,F,U,2,Inference,1,3
Participant_5,0,1.32309569260133,1.32309569260133,0,CE,F,U,2,Inference,1,3
Participant_5,1,1.10369212927344,0,1.10369212927344,BE,F,U,2,Inference,2,3
Participant_5,0,0.938858698440981,0.938858698440981,0,BD,O,C,2,Inference,1,3
Participant_5,1,1.09851724704185,0,1.09851724704185,CE,O,C,2,Inference,1,3
Participant_5,0,1.22683015692201,1.22683015692201,0,BE,O,C,2,Inference,2,3
Participant_5,0.5,0.884787606350983,0.922043474245129,0.847531738456837,BD,S,D,2,Inference,1,4
Participant_5,0.5,0.942056405677477,0.762040087441164,1.12207272391379,CE,S,D,2,Inference,1,4
Participant_5,0,1.12610276383703,1.12610276383703,0,BE,S,D,2,Inference,2,4
Participant_5,1,0.99640947484022,0,0.99640947484022,BD,F,U,2,Inference,1,4
Participant_5,0,0.926262354136497,0.926262354136497,0,CE,F,U,2,Inference,1,4
Participant_5,1,0.966729014645125,0,0.966729014645125,BE,F,U,2,Inference,2,4
Participant_5,0,0.97880707534091,0.97880707534091,0,BD,O,C,2,Inference,1,4
Participant_5,1,1.05430688547472,0,1.05430688547472,CE,O,C,2,Inference,1,4
Participant_5,0,1.00886162340771,1.00886162340771,0,BE,O,C,2,Inference,2,4
Participant_6,0,1.26265247266144,1.26265247266144,0,BD,S,D,2,Inference,1,1
Participant_6,1,2.19664957843895,0,2.19664957843895,CE,S,D,2,Inference,1,1
Participant_6,1,1.90737128664603,0,1.90737128664603,BE,S,D,2,Inference,2,1
Participant_6,1,1.64505698641665,0,1.64505698641665,BD,O,U,2,Inference,1,1
Participant_6,1,1.09643379466422,0,1.09643379466422,CE,O,U,2,Inference,1,1
Participant_6,1,1.18018150468765,0,1.18018150468765,BE,O,U,2,Inference,2,1
Participant_6,1,3.63420134345279,0,3.63420134345279,BD,F,C,2,Inference,1,1
Participant_6,1,1.49536539556948,0,1.49536539556948,CE,F,C,2,Inference,1,1
Participant_6,1,0.989010422279307,0,0.989010422279307,BE,F,C,2,Inference,2,1
Participant_6,0,2.35617998573423,2.35617998573423,0,BD,S,D,2,Inference,1,2
Participant_6,1,1.0267371748489,0,1.0267371748489,CE,S,D,2,Inference,1,2
Participant_6,1,0.966127335519445,0,0.966127335519445,BE,S,D,2,Inference,2,2
Participant_6,1,1.29501105859777,0,1.29501105859777,BD,O,U,2,Inference,1,2
Participant_6,1,1.30057576550644,0,1.30057576550644,CE,O,U,2,Inference,1,2
Participant_6,1,0.902562977559455,0,0.902562977559455,BE,O,U,2,Inference,2,2
Participant_6,1,1.67036141857943,0,1.67036141857943,BD,F,C,2,Inference,1,2
Participant_6,1,0.971773634866054,0,0.971773634866054,CE,F,C,2,Inference,1,2
Participant_6,1,1.04787346501018,0,1.04787346501018,BE,F,C,2,Inference,2,2
Participant_6,0,0.873790866778563,0.873790866778563,0,BD,S,D,2,Inference,1,3
Participant_6,0.5,0.70651995422611,0.543734059967846,0.869305848484373,CE,S,D,2,Inference,1,3
Participant_6,0.5,0.742481693017453,0.853671403133376,0.63129198290153,BE,S,D,2,Inference,2,3
Participant_6,1,0.919361782923033,0,0.919361782923033,BD,O,U,2,Inference,1,3
Participant_6,1,1.47828563511257,0,1.47828563511257,CE,O,U,2,Inference,1,3
Participant_6,1,0.7461087078118,0,0.7461087078118,BE,O,U,2,Inference,2,3
Participant_6,1,1.42704814980186,0,1.42704814980186,BD,F,C,2,Inference,1,3
Participant_6,1,1.66417142622561,0,1.66417142622561,CE,F,C,2,Inference,1,3
Participant_6,1,0.937876338706019,0,0.937876338706019,BE,F,C,2,Inference,2,3
Participant_6,0,0.720891512846947,0.720891512846947,0,BD,S,D,2,Inference,1,4
Participant_6,1,0.812749459899351,0,0.812749459899351,CE,S,D,2,Inference,1,4
Participant_6,0.5,0.819939087909461,0.634517706585484,1.00536046923344,BE,S,D,2,Inference,2,4
Participant_6,1,0.919688152675462,0,0.919688152675462,BD,O,U,2,Inference,1,4
Participant_6,1,0.999677992107536,0,0.999677992107536,CE,O,U,2,Inference,1,4
Participant_6,1,0.977401203873342,0,0.977401203873342,BE,O,U,2,Inference,2,4
Participant_6,0,1.30883250971146,1.30883250971146,0,BD,F,C,2,Inference,1,4
Participant_6,1,0.923917873875553,0,0.923917873875553,CE,F,C,2,Inference,1,4
Participant_6,1,1.35843173176113,0,1.35843173176113,BE,F,C,2,Inference,2,4
Participant_8,0,4.22277931154815,4.22277931154815,0,BD,F,D,2,Inference,1,1
Participant_8,0.5,2.59563918880087,1.71338160433515,3.47789677326659,CE,F,D,2,Inference,1,1
Participant_8,0,3.00113433433239,3.00113433433239,0,BE,F,D,2,Inference,2,1
Participant_8,1,3.57115824746495,0,3.57115824746495,BD,S,U,2,Inference,1,1
Participant_8,0,2.58577296892338,2.58577296892338,0,CE,S,U,2,Inference,1,1
Participant_8,0,5.54061229935553,5.54061229935553,0,BE,S,U,2,Inference,2,1
Participant_8,1,2.07316110062004,0,2.07316110062004,BD,O,C,2,Inference,1,1
Participant_8,1,1.28554307442835,0,1.28554307442835,CE,O,C,2,Inference,1,1
Participant_8,1,1.28860970277924,0,1.28860970277924,BE,O,C,2,Inference,2,1
Participant_8,0,3.82636653803524,3.82636653803524,0,BD,F,D,2,Inference,1,2
Participant_8,0,3.43146603924629,3.43146603924629,0,CE,F,D,2,Inference,1,2
Participant_8,0.5,3.42138070117835,2.45416324561779,4.38859815673891,BE,F,D,2,Inference,2,2
Participant_8,1,2.05031174309295,0,2.05031174309295,BD,S,U,2,Inference,1,2
Participant_8,0,1.40577019787349,1.40577019787349,0,CE,S,U,2,Inference,1,2
Participant_8,0.5,3.85191869534867,1.59318373085921,6.11065365983814,BE,S,U,2,Inference,2,2
Participant_8,1,1.81661141672487,0,1.81661141672487,BD,O,C,2,Inference,1,2
Participant_8,1,1.52007651176154,0,1.52007651176154,CE,O,C,2,Inference,1,2
Participant_8,1,1.63781507861586,0,1.63781507861586,BE,O,C,2,Inference,2,2
Participant_8,0,3.07507466439506,3.07507466439506,0,BD,F,D,2,Inference,1,3
Participant_8,0.5,1.7501703682417,1.7941392298535,1.7062015066299,CE,F,D,2,Inference,1,3
Participant_8,0,4.43028731680283,4.43028731680283,0,BE,F,D,2,Inference,2,3
Participant_8,1,1.62598064370468,0,1.62598064370468,BD,S,U,2,Inference,1,3
Participant_8,0,1.46877206576619,1.46877206576619,0,CE,S,U,2,Inference,1,3
Participant_8,0,2.08214443326915,2.08214443326915,0,BE,S,U,2,Inference,2,3
Participant_8,1,1.4324877355391,0,1.4324877355391,BD,O,C,2,Inference,1,3
Participant_8,1,1.27026253130248,0,1.27026253130248,CE,O,C,2,Inference,1,3
Participant_8,1,1.65339068722051,0,1.65339068722051,BE,O,C,2,Inference,2,3
Participant_8,0,1.95474311342809,1.95474311342809,0,BD,F,D,2,Inference,1,4
Participant_8,0,2.05089443326892,2.05089443326892,0,CE,F,D,2,Inference,1,4
Participant_8,0,2.68712975696872,2.68712975696872,0,BE,F,D,2,Inference,2,4
Participant_8,1,3.65737740670829,0,3.65737740670829,BD,S,U,2,Inference,1,4
Participant_8,0,1.41325895972727,1.41325895972727,0,CE,S,U,2,Inference,1,4
Participant_8,0.5,2.2931991255798,2.33410033252585,2.25229791863376,BE,S,U,2,Inference,2,4
Participant_8,1,1.14660931277967,0,1.14660931277967,BD,O,C,2,Inference,1,4
Participant_8,1,1.11649826552821,0,1.11649826552821,CE,O,C,2,Inference,1,4
Participant_8,1,1.18890656430881,0,1.18890656430881,BE,O,C,2,Inference,2,4
Participant_10,0,2.24045840111285,2.24045840111285,0,BD,O,D,2,Inference,1,1
Participant_10,0.5,1.18497790868787,1.26623698510957,1.10371883226617,CE,O,D,2,Inference,1,1
Participant_10,0,1.43680961446444,1.43680961446444,0,BE,O,D,2,Inference,2,1
Participant_10,0.5,1.46381207248123,1.79939293796633,1.12823120699613,BD,S,U,2,Inference,1,1
Participant_10,0,2.7849181261663,2.7849181261663,0,CE,S,U,2,Inference,1,1
Participant_10,0.5,1.31521709010485,1.44531361450936,1.18512056570034,BE,S,U,2,Inference,2,1
